episode,time,duration,steps,reward,steps_total,reward_total,tau,epsilon,loss,batch_size,goal,goals_total
204,2954.9,5.4,53,0.3500000000000014,26976,-1067.8000000000013,1.0000,0.63215,0.0155,64,1,99
205,2962.5,6.0,63,3.849999999999999,27039,-1063.9500000000014,1.0000,0.63129,0.0189,64,1,100
206,2976.7,12.4,180,-6.999999999999991,27219,-1070.9500000000014,1.0000,0.62884,0.0191,64,0,100
207,2990.6,12.2,180,-11.000000000000018,27399,-1081.9500000000014,1.0000,0.62639,0.0192,64,0,100
208,3001.6,9.3,112,1.4000000000000086,27511,-1080.5500000000013,1.0000,0.62486,0.0183,64,1,101
209,3015.6,12.2,180,-11.000000000000027,27691,-1091.5500000000013,1.0000,0.62240,0.0182,64,0,101
210,3023.3,6.0,64,-4.199999999999989,27755,-1095.7500000000014,1.0000,0.62153,0.0188,64,1,102
211,3037.4,12.4,180,-11.000000000000028,27935,-1106.7500000000014,1.0000,0.61908,0.0190,64,0,102
212,3051.5,12.4,180,-9.00000000000002,28115,-1115.7500000000014,1.0000,0.61662,0.0187,64,0,102
213,3106.1,11.0,137,-1.849999999999989,28252,-1117.6000000000013,1.0000,0.61475,0.0184,64,1,103
214,3120.1,12.3,180,-4.999999999999984,28432,-1122.6000000000013,1.0000,0.61230,0.0179,64,0,103
215,3133.9,12.1,180,-10.999999999999986,28612,-1133.6000000000013,1.0000,0.60984,0.0185,64,0,103
216,3147.9,12.3,180,-6.999999999999978,28792,-1140.6000000000013,1.0000,0.60739,0.0183,64,0,103
217,3152.0,2.3,9,0.5500000000000016,28801,-1140.0500000000013,1.0000,0.60727,0.0235,64,1,104
218,3156.7,3.0,21,1.9500000000000015,28822,-1138.1000000000013,1.0000,0.60698,0.0212,64,1,105
219,3161.0,2.6,14,2.3000000000000003,28836,-1135.8000000000013,1.0000,0.60679,0.0171,64,1,106
220,3166.1,3.4,24,1.7999999999999998,28860,-1134.0000000000014,1.0000,0.60646,0.0208,64,1,107
221,3170.5,2.7,15,6.250000000000001,28875,-1127.7500000000014,1.0000,0.60626,0.0146,64,1,108
222,3184.4,12.2,180,-6.999999999999983,29055,-1134.7500000000014,1.0000,0.60380,0.0176,64,0,108
223,3191.8,5.6,57,-3.849999999999996,29112,-1138.6000000000013,1.0000,0.60303,0.0167,64,1,109
224,3198.0,4.5,41,-5.049999999999994,29153,-1143.6500000000012,1.0000,0.60247,0.0167,64,1,110
225,3212.0,12.3,180,-4.99999999999999,29333,-1148.6500000000012,1.0000,0.60001,0.0172,64,0,110
226,3221.4,7.7,89,2.5500000000000007,29422,-1146.1000000000013,1.0000,0.59880,0.0182,64,1,111
227,3235.3,12.2,180,-6.999999999999984,29602,-1153.1000000000013,1.0000,0.59634,0.0193,64,0,111
228,3240.6,3.6,53,4.35,29655,-1148.7500000000014,1.0000,0.59562,0.0166,64,1,112
229,3256.3,14.0,180,-6.9999999999999885,29835,-1155.7500000000014,1.0000,0.59317,0.0192,64,0,112
230,3258.4,0.3,5,2.75,29840,-1153.0000000000014,1.0000,0.59310,0.0197,64,1,113
231,3274.2,14.1,180,-4.999999999999971,30020,-1158.0000000000014,1.0000,0.59064,0.0241,64,0,113
232,3332.3,12.2,180,-6.999999999999979,30200,-1165.0000000000014,1.0000,0.58819,0.0536,64,0,113
233,3346.2,12.2,180,-8.99999999999999,30380,-1174.0000000000014,1.0000,0.58573,0.0509,64,0,113
234,3360.1,12.2,180,-6.999999999999972,30560,-1181.0000000000014,1.0000,0.58328,0.0477,64,0,113
